05-01-2018 13:49:35.561 INFO  HtmlParser:34 - page.
05-01-2018 13:49:35.561 INFO  HtmlParser:42 - End file c:\temp\storage\AP2000-TGBB0016\26-12-2017_15-00-04\Test005.html ----------------------------------
05-01-2018 13:49:35.562 INFO  HtmlParser:18 - Start file c:\temp\storage\AP2000-TGBB0016\26-12-2017_15-02-14\AP006.html ----------------------------------
05-01-2018 13:49:35.565 INFO  HtmlParser:42 - End file c:\temp\storage\AP2000-TGBB0016\26-12-2017_15-02-14\AP006.html ----------------------------------
05-01-2018 13:49:35.566 INFO  HtmlParser:18 - Start file c:\temp\storage\IOLM1071958\03-01-2018_16-37-50\IOL-Holladay-1003.html ----------------------------------
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Kaz
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - NII
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - GB
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Last
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - name:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - ID:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Date
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - of
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - birth:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Examination
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - date:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Surgeon:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Target
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - ref.:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - Formula:
05-01-2018 13:49:35.575 INFO  HtmlParser:34 - n:
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - 06/20/2001
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - 01/03/2018
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - Doctor1
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - Holladay
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - 1
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - plano
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - 1.3375
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - Ulchikova,
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - YUliana
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - OD
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - OS
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - right
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - left
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - AL:
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - K1:
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - K2:
05-01-2018 13:49:35.576 INFO  HtmlParser:34 - R
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - /
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - SE:
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - Cyl.:
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - Status:
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - 31.22
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - mm
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - (*)
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - 43.00
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - D
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - /
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - 7.85
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - mm
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - (*)
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - 45.00
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - D
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - /
05-01-2018 13:49:35.577 INFO  HtmlParser:34 - 7.50
05-01-2018 13:49:35.578 INFO  HtmlParser:34 - mm
05-01-2018 13:49:35.578 INFO  HtmlParser:34 - (*)
05-01-2018 13:49:35.578 INFO  HtmlParser:34 - 7.67
05-01-2018 13:49:35.578 INFO  HtmlParser:34 - mm
